과목,번호,구분,질문,정답,키워드(빈칸),오답보기
"기능해부학",12,"PART 1 · 결합조직","건(Tendon)과 인대(Ligament)의 차이는?","건 = 근육과 뼈를 연결 / 인대 = 뼈와 뼈를 연결","근육 / 뼈","연골 / 피부 / 신경"
"기능해부학",13,"PART 1 · 무릎인대","무릎 인대 4가지는?","전방십자인대(ACL) / 후방십자인대(PCL) / 내측부인대(MCL) / 외측부인대(LCL)","전방십자인대(ACL) / 후방십자인대(PCL) / 내측부인대(MCL) / 외측부인대(LCL)","전거비인대(ATFL) / 종비인대(CFL) / 슬개인대 / 장경인대"
"기능해부학",14,"PART 1 · 발목인대","발목 외측인대 3가지는?","전거비인대(ATFL) / 후거비인대(PTFL) / 종비인대(CFL)","전거비인대(ATFL) / 후거비인대(PTFL) / 종비인대(CFL)","내측부인대(MCL) / 전방십자인대(ACL) / 족저근막 / 스프링인대"
"기능해부학",15,"PART 1 · 근육 수축","근육 수축 유형 4가지는?","단축성 / 신장성 / 등척성 / 등속성","단축성 / 신장성 / 등척성 / 등속성","탄성 / 수동성 / 폭발성"
"기능해부학",16,"PART 1 · 근육 수축","신장성(Eccentric) 수축의 특징은?","근육이 길어지면서 힘을 냄 → DOMS 유발","길어지면서 / DOMS","수축하면서 / 고정된 채 / 빠르게 / 지연성근육통 / EPOC"
"기능해부학",17,"PART 1 · 근육 역할","주동근 / 길항근 / 협력근이란?","주동근 = 동작 직접 수행 / 길항근 = 반대 동작으로 조절 / 협력근 = 보조·안정화","주동근 / 길항근 / 협력근","보조근 / 중간근 / 고정근"
"기능해부학",18,"PART 2 · 근육 묶음","복근 4가지는?","복직근 / 외복사근 / 내복사근 / 복횡근","복직근 / 외복사근 / 내복사근 / 복횡근","요방형근 / 장요근 / 횡격막 / 전거근"
"기능해부학",19,"PART 2 · 근육 묶음","회전근개(Rotator Cuff) 4가지는?","극상근 / 극하근 / 소원근 / 견갑하근","극상근 / 극하근 / 소원근 / 견갑하근","대원근 / 삼각근 / 상완이두근 / 능형근"
"기능해부학",20,"PART 2 · 근육 묶음","대퇴사두근 4가지는?","대퇴직근 / 외측광근 / 내측광근 / 중간광근","대퇴직근 / 외측광근 / 내측광근 / 중간광근","반건양근 / 대퇴이두근 / 봉공근 / 대내전근"
"기능해부학",21,"PART 2 · 근육 묶음","햄스트링 3가지는?","대퇴이두근 / 반건양근 / 반막양근","대퇴이두근 / 반건양근 / 반막양근","대퇴직근 / 외측광근 / 봉공근 / 대내전근"
"기능해부학",22,"PART 2 · 근육 묶음","내전근군 5가지는?","대내전근 / 장내전근 / 단내전근 / 박근 / 치골근","대내전근 / 장내전근 / 단내전근 / 박근 / 치골근","반건양근 / 봉공근 / 대퇴직근 / 장요근"
"기능해부학",23,"PART 2 · 근육 묶음","척추기립근 3가지는?","장늑근 / 최장근 / 극근","장늑근 / 최장근 / 극근","요방형근 / 반극근 / 다열근 / 회선근"
"기능해부학",24,"PART 2 · 근육 묶음","둔근 3가지는?","대둔근 / 중둔근 / 소둔근","대둔근 / 중둔근 / 소둔근","이상근 / 대퇴방형근 / 대퇴이두근 / 장요근"
"기능해부학",25,"PART 2 · 근육 묶음","종아리 2가지 근육은?","비복근 / 가자미근","비복근 / 가자미근","전경골근 / 장비골근 / 후경골근 / 장지굴근"
"기능해부학",26,"PART 2 · 근육 묶음","거위발(Pes Anserinus) 부착 근육 3가지는?","봉공근 / 박근 / 반건양근","봉공근 / 박근 / 반건양근","반막양근 / 대퇴이두근 / 대내전근 / 치골근"
"기능해부학",27,"PART 2 · 이관절 근육","대퇴직근이 관여하는 동작은?","고관절(엉덩관절) 굴곡 + 슬관절(무릎관절) 신전","고관절(엉덩관절) 굴곡 / 슬관절(무릎관절) 신전","고관절(엉덩관절) 신전 / 슬관절(무릎관절) 굴곡 / 고관절(엉덩관절) 외전"
"기능해부학",28,"PART 2 · 이관절 근육","비복근이 관여하는 동작은?","슬관절(무릎관절) 굴곡 + 족관절(발목관절) 족저굴곡","슬관절(무릎관절) 굴곡 / 족저굴곡","슬관절(무릎관절) 신전 / 배측굴곡 / 고관절(엉덩관절) 굴곡"
"기능해부학",29,"PART 2 · 이관절 근육","상완이두근(장두)이 관여하는 동작 3가지는?","견관절(어깨관절) 굴곡 + 주관절(팔꿈치관절) 굴곡 + 전완 회외","견관절(어깨관절) 굴곡 / 주관절(팔꿈치관절) 굴곡 / 회외","견관절(어깨관절) 신전 / 주관절(팔꿈치관절) 신전 / 회내"
"기능해부학",30,"PART 2 · 주요 기능","복횡근의 주요 기능은?","복압 형성 + 척추 안정화 / 복부 가장 깊은 심부 근육","복압 / 척추 안정화 / 심부","체간 굴곡 / 체간 회전 / 표층"
"기능해부학",31,"PART 2 · 주요 기능","회전근개의 주요 기능은?","견관절(어깨관절) 안정화 + 상완골두를 관절와에 고정","견관절(어깨관절) 안정화 / 관절와","견관절(어깨관절) 외전 / 견봉 / 견갑골 후인"
"기능해부학",32,"PART 2 · 주요 기능","장요근의 주요 기능은?","고관절(엉덩관절) 굴곡 + 요추 안정화","고관절(엉덩관절) 굴곡 / 요추 안정화","고관절(엉덩관절) 신전 / 요추 굴곡 / 고관절(엉덩관절) 외전"
"기능해부학",33,"PART 3 · 견갑골","견갑골 거상(올림)의 주동근은?","상부 승모근 / 견갑거근","상부 승모근 / 견갑거근","하부 승모근 / 전거근 / 능형근"
"기능해부학",34,"PART 3 · 견갑골","견갑골 하강(내림)의 주동근은?","하부 승모근 / 소흉근","하부 승모근 / 소흉근","상부 승모근 / 견갑거근 / 능형근"
"기능해부학",35,"PART 3 · 견갑골","견갑골 전인(앞으로 내밈)의 주동근은?","전거근 / 소흉근","전거근 / 소흉근","중부 승모근 / 능형근 / 후면삼각근"
"기능해부학",36,"PART 3 · 견갑골","견갑골 후인(뒤로 당김)의 주동근은?","중부 승모근 / 능형근","중부 승모근 / 능형근","전거근 / 소흉근 / 상부 승모근"
"기능해부학",37,"PART 3 · 견갑골","견갑골 상방회전의 주동근은?","상부 승모근 / 하부 승모근 / 전거근","상부 승모근 / 하부 승모근 / 전거근","중부 승모근 / 능형근 / 소흉근"
"기능해부학",38,"PART 3 · 견관절(어깨관절)","견관절(어깨관절) 굴곡의 주동근은?","전면삼각근 / 대흉근(쇄골부) / 상완이두근","전면삼각근 / 대흉근(쇄골부) / 상완이두근","후면삼각근 / 광배근 / 대흉근(흉골부)"
"기능해부학",39,"PART 3 · 견관절(어깨관절)","견관절(어깨관절) 신전의 주동근은?","광배근 / 대원근 / 후면삼각근","광배근 / 대원근 / 후면삼각근","전면삼각근 / 소원근 / 대흉근(쇄골부)"
"기능해부학",40,"PART 3 · 견관절(어깨관절)","견관절(어깨관절) 외전의 주동근은?","측면삼각근 / 극상근","측면삼각근 / 극상근","전면삼각근 / 대흉근 / 광배근"
"기능해부학",41,"PART 3 · 견관절(어깨관절)","견관절(어깨관절) 내회전의 주동근은?","견갑하근 / 대흉근 / 광배근 / 대원근","견갑하근 / 대흉근 / 광배근 / 대원근","극하근 / 소원근 / 후면삼각근"
"기능해부학",42,"PART 3 · 견관절(어깨관절)","견관절(어깨관절) 외회전의 주동근은?","극하근 / 소원근 / 후면삼각근","극하근 / 소원근 / 후면삼각근","견갑하근 / 광배근 / 대원근"
"기능해부학",43,"PART 3 · 견관절(어깨관절)","견관절(어깨관절) 수평벌림의 주동근은?","후면삼각근 / 극하근 / 소원근","후면삼각근 / 극하근 / 소원근","전면삼각근 / 대흉근 / 극상근"
"기능해부학",44,"PART 3 · 견관절(어깨관절)","견관절(어깨관절) 수평내전의 주동근은?","대흉근 / 전면삼각근","대흉근 / 전면삼각근","후면삼각근 / 극하근 / 광배근"
"기능해부학",45,"PART 3 · 주관절(팔꿈치관절)","팔꿈치 굴곡의 주동근 3가지는?","상완이두근 / 상완근 / 상완요골근","상완이두근 / 상완근 / 상완요골근","상완삼두근 / 원회내근 / 주근"
"기능해부학",46,"PART 3 · 주관절(팔꿈치관절)","팔꿈치 신전의 주동근은?","상완삼두근","상완삼두근","상완이두근 / 상완근 / 상완요골근"
"기능해부학",47,"PART 3 · 고관절(엉덩관절)","고관절(엉덩관절) 굴곡의 주동근은?","장요근 / 대퇴직근 / 봉공근","장요근 / 대퇴직근 / 봉공근","대둔근 / 반건양근 / 대퇴이두근"
"기능해부학",48,"PART 3 · 고관절(엉덩관절)","고관절(엉덩관절) 신전의 주동근은?","대둔근 / 햄스트링","대둔근 / 햄스트링","장요근 / 대퇴직근 / 중둔근"
"기능해부학",49,"PART 3 · 고관절(엉덩관절)","고관절(엉덩관절) 외전의 주동근은?","중둔근 / 소둔근","중둔근 / 소둔근","대내전근 / 장내전근 / 대둔근"
"기능해부학",50,"PART 3 · 고관절(엉덩관절)","고관절(엉덩관절) 내전의 주동근은?","대내전근 / 장내전근 / 단내전근 / 박근","대내전근 / 장내전근 / 단내전근 / 박근","중둔근 / 소둔근 / 봉공근 / 대둔근"
"기능해부학",51,"PART 3 · 고관절(엉덩관절)","고관절(엉덩관절) 외회전 심층근 6가지는?","이상근 / 내폐쇄근 / 외폐쇄근 / 상쌍자근 / 하쌍자근 / 대퇴방형근","이상근 / 내폐쇄근 / 외폐쇄근 / 상쌍자근 / 하쌍자근 / 대퇴방형근","중둔근 / 소둔근 / 대둔근 / 장요근"
"기능해부학",52,"PART 3 · 슬관절(무릎관절)","무릎 굴곡의 주동근은?","햄스트링 / 비복근","햄스트링 / 비복근","대퇴사두근 / 전경골근 / 봉공근"
"기능해부학",53,"PART 3 · 슬관절(무릎관절)","무릎 신전의 주동근은?","대퇴사두근","대퇴사두근","햄스트링 / 비복근 / 봉공근"
"기능해부학",54,"PART 3 · 족관절(발목관절)","발목 배측굴곡의 주동근은?","전경골근 / 장지신근 / 장무지신근","전경골근 / 장지신근 / 장무지신근","비복근 / 가자미근 / 장비골근"
"기능해부학",55,"PART 3 · 족관절(발목관절)","발목 족저굴곡의 주동근은?","비복근 / 가자미근","비복근 / 가자미근","전경골근 / 장무지신근 / 장비골근"
"기능해부학",56,"PART 4 · 발달 운동","대흉근 쇄골부(윗가슴) 발달 운동은?","인클라인 벤치프레스 / 인클라인 덤벨프레스 / 인클라인 체스트플라이","인클라인 벤치프레스 / 인클라인 덤벨프레스 / 인클라인 체스트플라이","플랫 벤치프레스 / 디클라인 벤치프레스 / 체스트플라이"
"기능해부학",57,"PART 4 · 발달 운동","대흉근 흉골부(가슴) 발달 운동은?","플랫 벤치프레스 / 푸시업 / 체스트플라이","플랫 벤치프레스 / 푸시업 / 체스트플라이","인클라인 벤치프레스 / 딥스 / 케이블 크로스오버"
"기능해부학",58,"PART 4 · 발달 운동","광배근 발달 운동은?","풀업 / 랫풀다운 / 시티드 케이블 로우 / 벤트오버 바벨 로우","풀업 / 랫풀다운 / 시티드 케이블 로우 / 벤트오버 바벨 로우","숄더프레스 / 리버스 플라이 / 업라이트 로우"
"기능해부학",59,"PART 4 · 발달 운동","삼각근 발달 운동은?","숄더프레스 / 사이드 레터럴 레이즈 / 프론트 레이즈 / 리어 델트 플라이","숄더프레스 / 사이드 레터럴 레이즈 / 프론트 레이즈 / 리어 델트 플라이","업라이트 로우 / 인클라인 벤치프레스 / 페이스풀"
"기능해부학",60,"PART 4 · 발달 운동","상완이두근 발달 운동은?","바벨컬 / 덤벨컬 / 해머컬","바벨컬 / 덤벨컬 / 해머컬","트라이셉스 푸시다운 / 트라이셉스 킥백 / 딥스"
"기능해부학",61,"PART 4 · 발달 운동","상완삼두근 발달 운동은?","트라이셉스 푸시다운 / 오버헤드 트라이셉스 익스텐션 / 딥스","트라이셉스 푸시다운 / 오버헤드 트라이셉스 익스텐션 / 딥스","바벨컬 / 해머컬 / 바벨로우"
"기능해부학",62,"PART 4 · 발달 운동","척추기립근 발달 운동은?","백 익스텐션 / 루마니안 데드리프트 / 굿모닝","백 익스텐션 / 루마니안 데드리프트 / 굿모닝","스티프 데드리프트 / 힙 쓰러스트 / 케이블 풀스루"
"기능해부학",63,"PART 4 · 발달 운동","대퇴사두근 발달 운동은?","스쿼트 / 레그프레스 / 레그익스텐션 / 런지","스쿼트 / 레그프레스 / 레그익스텐션 / 런지","레그컬 / 루마니안 데드리프트 / 힙 쓰러스트"
"기능해부학",64,"PART 4 · 발달 운동","햄스트링 발달 운동은?","레그컬 / 루마니안 데드리프트 / 스티프 데드리프트","레그컬 / 루마니안 데드리프트 / 스티프 데드리프트","레그익스텐션 / 스쿼트 / 레그프레스"
"기능해부학",65,"PART 4 · 발달 운동","비복근 vs 가자미근 발달 운동의 차이는?","비복근 → 스탠딩 카프레이즈 / 가자미근 → 씨티드 카프레이즈","스탠딩 카프레이즈 / 씨티드 카프레이즈","토 프레스 / 도나키 카프레이즈 / 레그프레스 카프레이즈"
"운동생리학",1,"PART 1 · 에너지 시스템","ATP란 무엇인가?","인체가 직접 사용하는 에너지 화학물질. 인산기 분리 시 에너지 방출 → 근육 수축","아데노신 삼인산 / ADP / 근육 수축","젖산 / 크레아틴 인산 / 글리코겐"
"운동생리학",2,"PART 1 · 에너지 시스템","에너지 대사 시스템(ATP 생성 체계) 3가지는?","ATP-PCr 시스템 / 젖산 시스템(무산소성 해당과정) / 유산소 시스템","ATP-PCr 시스템 / 젖산 시스템 / 유산소 시스템","해당과정 / TCA회로 / 전자전달계"
"운동생리학",3,"PART 1 · 에너지 시스템","ATP-PCr 시스템(인원질 시스템)이란?","산소 없이 크레아틴 인산(PCr)으로 ATP 재합성. 약 2~20초 단시간 고강도 운동에 사용","산소 없이 / 크레아틴 인산(PCr) / 2~20초","산소 이용 / 젖산 / 3분 이상"
"운동생리학",4,"PART 1 · 에너지 시스템","해당과정이란?","포도당 분해 → 피루브산 + ATP 2개 생성. 산소 부족 시 피루브산→젖산 전환, 20초~3분 고강도 운동에 사용","포도당 / 피루브산 / ATP 2개","지방산 / 아세틸CoA / ATP 36개"
"운동생리학",5,"PART 1 · 에너지 시스템","유산소 시스템이란?","산소로 포도당·지방 분해. TCA회로와 전자전달계로 대량 ATP 생성. 3분 이상 저~중강도 운동에 사용","TCA회로(크렙스 회로) / 전자전달계 / 3분 이상","해당과정 / PCr / 2~20초"
"운동생리학",6,"PART 1 · 에너지 시스템","무산소성 역치(젖산 역치)란?","운동 강도 증가 시 젖산 생성 속도 > 제거 속도가 되어 급격히 축적되는 시점. 이후 유산소→무산소 전환","젖산 생성 속도 / 제거 속도 / 급격히 축적","산소 소비량 / 심박수 / 혈당"
"운동생리학",7,"PART 1 · 에너지 시스템","EPOC(초과산소섭취량)란?","운동 종료 후 평소보다 산소를 더 많이 소비하는 현상. 에너지·신체 회복을 위해 발생. 운동 후에도 칼로리 소모 지속","운동 종료 후 / 산소를 더 많이 소비 / 칼로리 소모","운동 중 / 산소 부족 / 근육 수축"
"운동생리학",8,"PART 1 · 에너지 시스템","웨이트 트레이닝 시 에너지 사용 순서는?","탄수화물 → 지방 → 단백질 순서","탄수화물 / 지방 / 단백질","지방 / 단백질 / 탄수화물"
"운동생리학",9,"PART 1 · 에너지 시스템","포도당 신생합성이란?","탄수화물이 아닌 물질에서 새 포도당을 생성하는 과정. 간·신장에서 젖산·아미노산·글리세롤을 재료로 사용","탄수화물이 아닌 물질 / 간과 신장 / 젖산·아미노산·글리세롤","포도당 분해 / 근육 / 지방산"
"운동생리학",10,"PART 1 · 에너지 시스템","산소 부채란?","고강도 운동 중 산소 공급이 수요를 못 따라가 발생한 부족분. EPOC와 관련","산소 공급 / 수요 / EPOC","젖산 축적 / ATP 고갈 / 체온 상승"
"운동생리학",11,"PART 2 · 근육","근활주설(근수축 기전)이란?","액틴과 미오신이 서로 끌어당겨 근절 단축. 신경 신호→칼슘 방출→트로포닌 활성화→미오신이 액틴 당김","액틴 / 미오신 / 칼슘","트로포미오신 / ATP / 근절"
"운동생리학",12,"PART 2 · 근육","근육 수축 종류 3가지는?","등장성(길이 변화 있음) / 등척성(길이 변화 없음) / 등속성(일정 속도로 수축)","등장성 수축 / 등척성 수축 / 등속성 수축","단축성 수축 / 신장성 수축 / 탄성 수축"
"운동생리학",13,"PART 2 · 근육","단축성 수축과 신장성 수축의 차이는?","단축성 = 근육 짧아지면서 힘을 냄 / 신장성 = 근육 길어지면서 힘을 냄. 신장성 수축 시 DOMS 잘 발생","짧아지면서 / 길어지면서 / DOMS","고정된 채 / 일정 속도로 / 지연성 근육통 없음"
"운동생리학",14,"PART 2 · 근육","지근섬유와 속근섬유의 차이는?","지근(적근) = 느린 수축, 지구력. 속근(백근) = 빠른 수축, 순발력. 핵심 차이: 산소 의존성과 수축 속도","지근섬유(적근) / 속근섬유(백근) / 산소 의존성","빠른 수축 / 느린 수축 / 무산소성"
"운동생리학",15,"PART 2 · 근육","근방추의 기능은?","근육 내 고유수용기. 과도한 신장 감지 시 신장 반사 유발 → 근육 단축 유도","고유수용기 / 과도하게 늘어나면 / 신장 반사","과도하게 수축하면 / 장력 감지 / 이완"
"운동생리학",16,"PART 2 · 근육","골지건기관의 기능은?","근육-건 사이의 고유수용기. 과도한 수축 장력 감지 시 근육 이완 → 손상 방지","근육과 힘줄(건) 사이 / 과도하게 수축 / 근육 이완","근육 내부 / 과도하게 신장 / 근육 단축"
"운동생리학",17,"PART 2 · 근육","지연성 근육통(DOMS)이란?","운동 후 24~72시간 후 발생하는 근육통. 신장성 수축으로 근섬유 미세 손상 → 복구 과정에서 염증·통증 발생","24~72시간 / 신장성 수축 / 미세 손상","즉시 발생 / 단축성 수축 / 혈액순환"
"운동생리학",18,"PART 2 · 근육","위성세포란?","근섬유 재생·성장 조절 줄기세포. 평소 비활성 → 운동으로 손상 시 활성화 → 근섬유 복구 + 근비대 기여","근섬유 재생 / 줄기세포 / 근비대","신경세포 / 지방세포 / 혈액세포"
"운동생리학",19,"PART 2 · 근육","동화작용(아나볼릭)과 이화작용(카타볼릭)의 차이는?","동화(아나볼릭) = 단백질 합성, 근육 성장 / 이화(카타볼릭) = 근육·조직 분해","동화작용(아나볼릭) / 이화작용(카타볼릭) / 근육 성장","산소 소비 / 에너지 방출 / 지방 합성"
"운동생리학",20,"PART 2 · 근육","근력을 결정짓는 요소 3가지는?","근육의 단면적 크기 / 동원되는 근섬유의 수 / 근섬유의 유형","근육의 단면적 / 동원되는 근섬유의 수 / 근섬유의 유형","체중 / 유연성 / 심박수"
"운동생리학",21,"PART 2 · 근육","근단백질 수축의 3요소는?","액틴 / 미오신 / 트로포닌","액틴 / 미오신 / 트로포닌","칼슘 / ATP / 근절"
"운동생리학",22,"PART 2 · 근육","근파워(순발력)란?","짧고 한정된 시간에 많은 양의 일을 할 수 있는 능력. 공식: 근파워 = 힘 × 속도","짧은 시간 / 많은 양의 일 / 힘 × 속도","긴 시간 / 적은 일 / 힘 ÷ 속도"
"운동생리학",23,"PART 2 · 근육","근지구력이란?","일정한 근육 활동을 강도 변화 없이 오래 지속하는 능력. 정적·동적 근지구력으로 구분","일정한 근육 활동 / 강도 변화 없이 / 정적·동적 근지구력","최대 근력 / 순간적인 힘 / 심폐지구력"
"운동생리학",24,"PART 3 · 심폐","심박출량 공식은?","심박출량 = 1회 박출량 × 분당 심박수 (1분 동안 박출하는 혈액의 양)","1회 박출량 / 분당 심박수 / 심박출량","산소 섭취량 / 혈압 / 호흡량"
"운동생리학",25,"PART 3 · 심폐","폐순환과 체순환의 경로는?","폐순환: 우심실→폐동맥→폐→폐정맥→좌심방 (가스교환) / 체순환: 좌심실→대동맥→전신→대정맥→우심방","우심실→폐→좌심방 / 좌심실→전신→우심방 / 이산화탄소·산소 교환","좌심실→폐 / 우심실→전신 / 혈당 조절"
"운동생리학",26,"PART 3 · 심폐","스포츠 심장이란?","장기 고강도 운동으로 심장 근육 비대·용적 증가. 안정 시 심박수가 낮아도 충분한 혈액 공급 가능","심장 근육 비대 / 용적 증가 / 안정 시 심박수 낮음","심박수 증가 / 혈압 상승 / 산소 감소"
"운동생리학",27,"PART 3 · 심폐","심장자극전도계의 구성 순서는?","동방결절(전기 신호) → 방실결절 → 히스속(방실다발) → 푸르키네 섬유 → 심실 수축","동방결절 / 방실결절 / 히스속→푸르키네 섬유","푸르키네→동방결절 / 방실결절→동방결절 / 히스속→방실결절"
"운동생리학",28,"PART 3 · 심폐","초과회복이란?","고강도 운동 후 충분한 휴식·영양으로 운동 전보다 체력과 수행 능력이 더 높아지는 현상","고강도 운동 후 / 충분한 휴식·영양 / 운동 전보다 높은 수준","운동 중 / 영양 없이 / 운동 전과 동일한 수준"
"운동생리학",29,"PART 3 · 심폐","호흡에 관여하는 근육은?","흡기근: 횡격막·외늑간근·사각근 / 호기근: 복횡근·내늑간근·외복사근","횡격막·외늑간근(흡기) / 복횡근·내늑간근(호기) / 사각근","대흉근 / 승모근 / 광배근"
"운동생리학",30,"PART 3 · 심폐","맥박 촉진법이란?","검지·중지로 동맥 압박. 15초 동안 맥박 수 측정 × 4 = 분당 심박수","검지와 중지 / 15초 / ×4","엄지 / 30초 / ×2"
"운동생리학",31,"PART 4 · 호르몬","인슐린과 글루카곤을 비교 설명하시오.","인슐린(베타세포) = 혈당 강하 / 글루카곤(알파세포) = 간의 글리코겐→포도당 분해, 혈당 상승","인슐린(혈당 강하) / 글루카곤(혈당 상승) / 베타세포·알파세포","에피네프린 / 테스토스테론 / 렙틴"
"운동생리학",32,"PART 4 · 호르몬","테스토스테론이란?","고환(남성)·난소(여성) 분비 스테로이드 호르몬. 단백질 동화 작용으로 근육 발달·골밀도 증가. 도핑 금지","고환·난소 / 단백질 동화 작용 / 도핑 금지","부신 / 지방 분해 / 도핑 허용"
"운동생리학",33,"PART 4 · 호르몬","렙틴과 그렐린의 차이는?","렙틴(지방세포 분비) = 포만감, 식욕 억제 / 그렐린(위 분비) = 공복감, 식욕 자극","렙틴(포만) / 그렐린(공복) / 지방세포·위","인슐린 / 글루카곤 / 에피네프린"
"운동생리학",34,"PART 4 · 호르몬","에피네프린(아드레날린)이란?","부신수질 분비. 교감신경 자극 → 심박수 증가, 혈압 상승, 호흡량 증가, 에너지 폭발적 공급","부신수질 / 심박수 증가·혈압 상승 / 교감신경","췌장 / 심박수 감소 / 부교감신경"
"운동생리학",35,"PART 4 · 호르몬","에스트로겐이란?","난소·태반 분비 여성 호르몬. 성장·생식 주기에 관여. 근육량 감소·지방 축적 증가에 관여","난소와 태반 / 여성 호르몬 / 근육량 감소·지방 축적","부신 / 남성 호르몬 / 근육량 증가"
"운동생리학",36,"PART 4 · 호르몬","DHEA란?","부신에서 생성되는 스테로이드 호르몬. 콜레스테롤로부터 합성. 여성 과다 사용 시 남성화. 도핑 금지","부신 / 스테로이드 호르몬 / 도핑 금지","췌장 / 단백질 호르몬 / 도핑 허용"
"운동생리학",37,"PART 4 · 호르몬","부정적 사고 vs 긍정적 사고 시 분비 호르몬은?","부정적 사고 → 아드레날린(에피네프린) 분비 / 긍정적 사고 → 엔도르핀 분비","아드레날린(에피네프린) / 엔도르핀 / 부정적·긍정적","인슐린 / 글루카곤 / 테스토스테론"
"운동생리학",38,"PART 5 · 신경·체형·측정","교감신경과 부교감신경의 차이는?","교감신경(긴장·활성) = 심박수↑, 혈압↑, 소화 억제 / 부교감신경(휴식·회복) = 심박수↓, 소화 촉진","교감신경(흥분·활성) / 부교감신경(휴식·회복) / 심박수 증가·감소","운동신경 / 감각신경 / 척수"
"운동생리학",39,"PART 5 · 신경·체형·측정","신경근 접합부의 주요 신경전달물질은?","아세틸콜린. 운동신경 말단에서 분비, 근섬유 수용체 결합 → 근수축 시작","아세틸콜린 / 운동신경 말단 / 근섬유 수축","도파민 / 세로토닌 / 에피네프린"
"운동생리학",40,"PART 5 · 신경·체형·측정","인체 3대 체형은?","외배엽(마르고 살 안 찜) / 중배엽(근육 발달, 탄탄) / 내배엽(지방 많고 살 잘 찜)","외배엽(마름) / 중배엽(근육질) / 내배엽(지방형)","상배엽 / 하배엽 / 측배엽"
"운동생리학",41,"PART 5 · 신경·체형·측정","BMI 공식과 의미는?","신장과 체중 비율로 비만도를 평가. 공식: 체중(kg) ÷ 신장(m)²","체중(kg) / 신장(m)² / 비만도","체지방량 / 근육량 / 심박수"
"운동생리학",42,"PART 5 · 신경·체형·측정","비만 기준 체지방률은? (남/여)","남성 체지방률 20% 이상, 여성 30% 이상일 때 비만으로 분류","남성 20% 이상 / 여성 30% 이상 / 체지방률","남성 30% / 여성 20% / 남성 15%"
"운동생리학",43,"PART 5 · 신경·체형·측정","기초대사량(BMR)이란?","체온·심박·호흡 등 생명 유지에 필요한 최소 에너지. 높을수록 안정 시 칼로리 많이 소모","생명 유지 / 최소한의 에너지 / 체온·심박·호흡","운동 에너지 / 소화 에너지 / 활동 에너지"
"운동생리학",44,"PART 5 · 신경·체형·측정","일일 에너지 소비 형태 4가지는?","기초대사량(생명 유지) / 활동대사량(신체 활동) / 식이대사량(소화·흡수) / 적응대사량(환경 변화 적응)","기초대사량 / 활동대사량 / 식이대사량","심박출량 / 최대산소섭취량 / 호흡교환율"
